Date,Buy & hold SPY,Target 12% via Trailing 22d,Target 12% via HAR,"Target 12% via GARCH(1,1)",Target 12% via XGBoost,Target 12% via Combo
2019-04-11,3.5423646,3.83334255198914,3.3778924557779404,3.1372433177739962,2.818594,3.1127639703906134
2019-04-18,3.583773,3.8858013176895767,3.4216110371636477,3.1792070591860124,2.852252,3.152470695246156
2019-04-26,3.5913458,3.8978622647662298,3.4306810808042822,3.186683752363206,2.857937,3.1598182221403794
2019-05-03,3.5189161,3.7799451434834466,3.3539328302730693,3.1210304417040073,2.803049,3.094456260971272
2019-05-10,3.4913104,3.7392769152109473,3.3350902177841704,3.09822560922139,2.7862427,3.0750703564719255
2019-05-17,3.4539351,3.7023362491408163,3.311186905640836,3.0736066547303973,2.7671413,3.0525963180671125
2019-05-24,3.3536563,3.6098147950118515,3.2382691780171657,3.000792197617406,2.7018635,2.9821174812905893
2019-06-03,3.5295405,3.7618865814823015,3.360602456529517,3.132342832627966,2.8086174,3.1022949665555175
2019-06-10,3.5344267,3.765744311542639,3.364089456312857,3.13558147946067,2.8117228,3.105610503734364
2019-06-17,3.604026,3.8342537224935493,3.4339655528356965,3.195048420328922,2.8602545,3.1644431198109797
2019-06-24,3.628818,3.859112994756531,3.4579332702668704,3.216711696481491,2.8756957,3.1845316167336812
2019-07-01,3.647597,3.878464508064989,3.4727434815780605,3.232635654070899,2.8882692,3.198974332685454
2019-07-09,3.6793857,3.9244101550549995,3.5043645701181116,3.2618811100578395,2.9109292,3.2266307908747773
2019-07-16,3.6824539,3.929116055356927,3.5079431392737845,3.26487324941803,2.9131234,3.22950236227689
2019-07-23,3.6909227,3.9426388023813908,3.5175226291241004,3.272787621207784,2.9195826,3.237441837885861
2019-07-30,3.532348,3.6885547832662895,3.3364315755491964,3.119083880341618,2.800207,3.087754877746678
2019-08-06,3.5906472,3.740151724519946,3.377496002036899,3.148553487766926,2.8293242,3.1206539128862385
2019-08-13,3.5604544,3.7175236014644994,3.358259564515699,3.132739535719363,2.8124256,3.103366608313952
2019-08-20,3.5209332,3.693288887292266,3.3311586232778194,3.1127938645532733,2.7850523,3.078743865172239
2019-08-27,3.6089358,3.7425520925551328,3.384111484190467,3.1589752558007422,2.8302147,3.1269027048319384
2019-09-04,3.6851542,3.7842514310203166,3.4326375622903003,3.2055883639489857,2.872868,3.172926887480103
2019-09-11,3.6955855,3.790910913299013,3.4403215351077083,3.2130888824876003,2.8801904,3.180453539568345
2019-09-18,3.669744,3.767921425113642,3.4185334566179493,3.1900107981131165,2.863988,3.160310407177162
2019-09-25,3.5518653,3.622260165095141,3.3207662410248533,3.084210445332686,2.7888231,3.0680386465829432
2019-10-02,3.5914454,3.6665682452306383,3.352286801266299,3.11041013758112,2.810431,3.0942694063108314
2019-10-09,3.6793613,3.7542644339204942,3.4226400317173447,3.1650185930624253,2.8631756,3.1532411978737453
2019-10-16,3.697609,3.7712946555183895,3.4395077177452182,3.1779007209464587,2.8756635,3.167239370253307
2019-10-23,3.7501364,3.819403274652841,3.493737172650978,3.221488459738619,2.9092565,3.210402389840973
2019-10-30,3.786634,3.853795741640362,3.528988060898726,3.254525593963495,2.9367242,3.2422855909030783
2019-11-06,3.8112946,3.884103498976048,3.557209690036961,3.277054366619526,2.9529152,3.264174944309497
2019-11-13,3.8318875,3.915362931347654,3.5811220314622716,3.2968488658687938,2.9655128,3.282398519420981
2019-11-20,3.889961,4.004370771537842,3.648962862914769,3.351972900230538,3.0002384,3.3332101219355277
2019-11-27,3.8472984,3.9384946246218844,3.5887511521855964,3.312642181016552,2.9686904,3.290537845465957
2019-12-05,3.910307,4.035247662852022,3.660300329805076,3.367742271683498,3.004102,3.3425734947112415
2019-12-12,3.9567919,4.107202920643588,3.7124849126026023,3.407238383207247,3.0329006,3.381711575148299
2019-12-19,4.0005307,4.175305426976288,3.7676966277167,3.447008374958243,3.0650253,3.423139861906616
2019-12-27,4.010195,4.190434585921177,3.7800666710145543,3.4561008445422803,3.0718093,3.432323377082292
2020-01-06,4.063601,4.274144289044885,3.832547951021348,3.501943058991467,3.1056592,3.4757805006623985
2020-01-13,4.1051106,4.339635147145821,3.880976519636818,3.5376838345432877,3.138849,3.514457786310849
2020-01-21,4.050465,4.252984144645118,3.8134823248608543,3.488591226502528,3.100004,3.4638940172704187
2020-01-28,4.077355,4.286059668298161,3.8345005741950358,3.5074234880118373,3.1154344,3.482224631276068
2020-02-04,4.154178,4.362930831510988,3.890435424091247,3.5551717806303875,3.1636503,3.532884772018389
2020-02-11,4.1923437,4.400150896492381,3.9228630818481656,3.58322994489826,3.19181,3.5624409445073635
2020-02-19,3.8597696,4.069281180333015,3.6140526691617083,3.300483617774794,2.944679,3.2833260290694177
2020-02-26,3.8766205,4.079602504929837,3.62173500644229,3.307563589842087,2.951318,3.290465702832429
2020-03-04,3.3995717,3.8945966070397304,3.4567103038365756,3.1794907162523347,2.7787154,3.1361355961537254
2020-03-11,2.9738202,3.7776255649417094,3.343922098364372,3.093972376775401,2.6613784,3.0315771168728207
2020-03-18,3.0759356,3.7967314598409256,3.362350485355937,3.1092787218155045,2.6803534,3.0491384969301243
2020-03-25,3.0679595,3.7953708987626373,3.360626854454237,3.1078043684956214,2.6785688,3.0474768616592884
2020-04-01,3.415449,3.8533043869745853,3.435969854403371,3.1871967698477617,2.7621787,3.1271610069709124
2020-04-08,3.478641,3.8632392993571427,3.449827635540945,3.202510543106035,2.7778933,3.1421557657160895
2020-04-16,3.4783921,3.8631358278717554,3.449690811203663,3.202356797433689,2.777756,3.142012676064732
2020-04-23,3.620479,3.8982293696583303,3.498004500143149,3.2573066339023513,2.8232193,3.1916129363526564
2020-04-30,3.5855794,3.8867706922535565,3.4845290338129993,3.241350583353733,2.8115292,3.1779678777293263
2020-05-07,3.5518022,3.87156027777124,3.470277545105194,3.2229708191724673,2.8008537,3.1638410893402904
2020-05-14,3.6753192,3.931899422540836,3.520322025076727,3.289306109929929,2.8409958,3.2151096787784015
2020-05-21,3.7929773,3.994044451432612,3.5796594559843125,3.3504121957299975,2.8879592,3.2707282498768486
2020-05-29,3.9801834,4.096559215674025,3.6670028080058823,3.4698914423800544,2.958717,3.3614432208693312
2020-06-05,3.7916048,3.9875199988189056,3.5766164754019525,3.3685237419196095,2.8814275,3.272085951293288
2020-06-12,3.8637495,4.019517292326959,3.6043256521564495,3.392230100509037,2.9032104,3.296439346568164
