Date,Buy & hold SPY,Target 12% via Trailing 22d,Target 12% via HAR,"Target 12% via GARCH(1,1)",Target 12% via XGBoost,Target 12% via XGBoost-QLIKE,Target 12% via XGBoost +BC,Target 12% via Combo,Target 12% via Stacked,Target 12% via Blend
2010-08-05,1.1118554,1.3605948506855388,1.295532493757695,1.2919716421024126,1.3065315,1.3002584,1.3690063967204846,1.2992947706737334,1.3173745219589463,1.2804204538808357
2010-08-12,1.1041789,1.3547810387265524,1.290337863832378,1.286616701800158,1.3018659,1.2960066,1.363919908640243,1.2942272459292947,1.3124732834388806,1.2757197799976072
2010-08-19,1.0770555,1.3325764322937952,1.2696905507758642,1.266610153865534,1.2804425,1.2766713,1.3404570663054383,1.273521469924279,1.2918040033111475,1.2553042134017356
2010-08-26,1.120453,1.3722896228926695,1.3028447968301053,1.301854836235946,1.3147897,1.3096666,1.3781597918056057,1.3077949250032999,1.32593657972377,1.2885268992434504
2010-09-02,1.1410258,1.3882738886385044,1.3192489713106226,1.315619382397838,1.3302286,1.3247045,1.3951626506315151,1.322979860464035,1.3418745880508007,1.3038808557374206
2010-09-10,1.1575273,1.4005055950735783,1.3337807482428221,1.3277156696905037,1.3437338,1.3378292,1.4100543818776528,1.3363330010492687,1.3559361941449684,1.3173575639633224
2010-09-17,1.1815033,1.4208380748703324,1.3553769702166556,1.3477996650697672,1.363872,1.3582352,1.4322699903678433,1.3569467825422687,1.377296136703923,1.3376612129119896
2010-09-24,1.1793427,1.4190694526753316,1.3536175639863555,1.3461155053632636,1.3621342,1.3565314,1.4303493541909469,1.355218388517505,1.3755168504572726,1.3359526397631725
2010-10-01,1.1992022,1.4367620953946243,1.3707718424432256,1.3638550127483797,1.3811016,1.3750567,1.4514254005675762,1.3731730933777981,1.394093071450255,1.353906308148473
2010-10-08,1.2111382,1.4499024901176965,1.3818483391981045,1.3743547371600369,1.3930061,1.3869781,1.464763042826562,1.384330759949063,1.4059594085066083,1.3652995044441723
